key,date_found,source,title,location,data_tech,status,url
Jefferies|2026 graduate analyst program - equity research - hong kong,2026-06-23,Jefferies,2026 Graduate Analyst Program - Equity Research - Hong Kong,,yes,new,https://jefferies.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-4/xf-08562d69e35a/candidate/so/pm/1/pl/2/opp/1813-2026-Graduate-Analyst-Program-Equity-Research-Hong-Kong/en-GB
Jefferies|2026 information technology graduate analyst - equity technology - hong kong,2026-06-23,Jefferies,2026 Information Technology Graduate Analyst - Equity Technology - Hong Kong,,yes,new,https://jefferies.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-4/xf-08562d69e35a/candidate/so/pm/1/pl/2/opp/1801-2026-Information-Technology-Graduate-Analyst-Equity-Technology-Hong-Kong/en-GB
Jefferies|2027 summer analyst program - investment banking (hong kong),2026-06-23,Jefferies,2027 Summer Analyst Program - Investment Banking (Hong Kong),,no,new,https://jefferies.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-4/xf-08562d69e35a/candidate/so/pm/1/pl/2/opp/1814-2027-Summer-Analyst-Program-Investment-Banking-Hong-Kong/en-GB
UBS|internship (global research),2026-06-23,UBS,Internship (Global research),,yes,new,https://jobs.ubs.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25008&siteid=5131&PageType=JobDetails&jobid=347153
HSBC|gsc: financial engineering - internship,2026-06-23,HSBC,GSC: Financial Engineering - Internship,,yes,new,https://mycareer.hsbc.com/en_GB/external/PipelineDetail/GSC-Financial-Engineering-Internship/288565
JPMorgan|2027 asset management program – summer internship – hong kong,2026-06-23,JPMorgan,2027 Asset Management Program – Summer Internship – Hong Kong,Hong Kong,no,new,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210743031/
JPMorgan|2027 global private bank advisor program – summer internship - hong kong,2026-06-23,JPMorgan,2027 Global Private Bank Advisor Program – Summer Internship - Hong Kong,Hong Kong,no,new,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210745326/
JPMorgan|2027 global private bank investment solutions program – summer internship - hong kong,2026-06-23,JPMorgan,2027 Global Private Bank Investment Solutions Program – Summer Internship - Hong Kong,Hong Kong,no,new,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210745269/
JPMorgan|2027 commercial & investment bank - global payments program - summer analyst - hong kong,2026-06-23,JPMorgan,2027 Commercial & Investment Bank - Global Payments Program -  Summer Analyst  - Hong Kong,Hong Kong,no,new,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210749749/
JPMorgan|2027 commercial & investment bank - markets summer analyst program - hong kong,2026-06-23,JPMorgan,2027 Commercial & Investment Bank - Markets Summer Analyst Program - Hong Kong,Hong Kong,no,new,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210747060/
JPMorgan|2027 commercial & investment bank - global investment banking analyst program – summer analyst - hong kong,2026-06-23,JPMorgan,2027 Commercial & Investment Bank - Global Investment Banking Analyst Program – Summer Analyst - Hong Kong,Hong Kong,no,new,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210749752/
JPMorgan|2027 commercial & investment bank - markets summer analyst program - research - hong kong,2026-06-23,JPMorgan,2027 Commercial & Investment Bank - Markets Summer Analyst Program - Research - Hong Kong,Hong Kong,yes,new,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210747391/
Point72|2027 point72 academy investment analyst summer internship program - hong kong,2026-06-23,Point72,2027 Point72 Academy Investment Analyst Summer Internship Program - Hong Kong,Hong Kong,no,new,https://boards.greenhouse.io/point72/jobs/8491055002?gh_jid=8491055002
Point72|cubist quantitative researcher intern,2026-06-23,Point72,Cubist Quantitative Researcher Intern,Hong Kong,yes,new,https://boards.greenhouse.io/point72/jobs/7297611002?gh_jid=7297611002
Point72|quantitative researcher - intern,2026-06-23,Point72,Quantitative Researcher - Intern,"London, Paris, Hong Kong, Tokyo",yes,new,https://boards.greenhouse.io/point72/jobs/7297657002?gh_jid=7297657002
Jump Trading|campus ai/ml researcher (spring 2026 / fall 2026),2026-06-23,Jump Trading,Campus AI/ML Researcher (Spring 2026 / Fall 2026) ,Shanghai; Singapore; Hong Kong,yes,new,https://www.jumptrading.com/hr/job?gh_jid=7282220
Jump Trading|campus trading team software engineer (intern),2026-06-23,Jump Trading,Campus Trading Team Software Engineer  (Intern),Hong Kong,yes,new,https://www.jumptrading.com/hr/job?gh_jid=7565728
Squarepoint|graduate support specialist,2026-06-23,Squarepoint,Graduate Support Specialist,"London, Montreal, New York, Houston, Hong Kong",no,new,https://www.squarepoint-capital.com/open-opportunities?id=6100081&gh_jid=6100081
Squarepoint|trading infrastructure specialist – graduate programme,2026-06-23,Squarepoint,Trading Infrastructure Specialist – Graduate Programme,"London, Montreal, Hong Kong, New York, Singapore",yes,new,https://www.squarepoint-capital.com/open-opportunities?id=7757021&gh_jid=7757021
"Amazon|business development intern, aws",2026-06-23,Amazon,"Business Development Intern, AWS","Hong Kong, Hong Kong SAR, HKG",no,new,https://www.amazon.jobs/en/jobs/3190062/business-development-intern-aws
"Amazon|technical business developer intern, 2026 hong kong",2026-06-23,Amazon,"Technical Business Developer Intern, 2026 Hong Kong","Hong Kong, Hong Kong SAR, HKG",yes,new,https://www.amazon.jobs/en/jobs/10394507/technical-business-developer-intern-2026-hong-kong
